AGENCY,TRANSACTION_DATE,TRANSACTION_AMOUNT,VENDOR_NAME,VENDOR_STATE_PROVINCE,MCC_DESCRIPTION,DCS_LAST_MOD_DTTM,OBJECTID
District of Columbia Public Schools,2024/05/31 04:00:00+00,68,DISPUTE REBILL,IL,OFFICE  SCHOOL SUPPLY  AND STATIONERY STORES,2024/06/11 15:15:49+00,544897
District of Columbia Public Schools,2024/05/31 04:00:00+00,234.62,LINKEDIN ADS 961262076,CA,DIRECT MARKETING-CONTINUITY-SUBSCRIPTION MERCHANTS,2024/06/11 15:15:49+00,545058
District of Columbia Public Schools,2024/05/31 04:00:00+00,22.97,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545060
District of Columbia Public Schools,2024/05/31 04:00:00+00,149.99,DISPUTE REBILL,IL,COMPUTER SOFTWARE STORES,2024/06/11 15:15:49+00,546659
District of Columbia Public Schools,2024/05/31 04:00:00+00,149.99,DISPUTE REBILL,IL,COMPUTER SOFTWARE STORES,2024/06/11 15:15:49+00,546660
Office of the Chief Financial Officer,2024/05/31 04:00:00+00,59.63,COMCAST,MD,CABLE  SATELLITE  OTHER PAY TELEVISION  RADIO SVCS,2024/06/11 15:15:49+00,546970
Fire & Emergency Medical Services,2024/05/31 04:00:00+00,69.89,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,547274
District of Columbia Public Schools,2024/05/30 04:00:00+00,120,NATIONAL MALL PERMITS,DC,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,544899
District Department of Transportation,2024/05/30 04:00:00+00,3221.5,ABC TECHNICAL SOLUTION,VA,COMPUTER MAIN.-REPAIR-SERVICES NOT ELSEWHERE CLASS,2024/06/11 15:15:49+00,544900
District Department of Transportation,2024/05/30 04:00:00+00,12.99,WEB*HOSTGATOR.COM,MA,COMPUTER NETWORK-INFORMATION SERVICES,2024/06/11 15:15:49+00,544902
DC National Guard,2024/05/30 04:00:00+00,651.85,LOWES #00907,NC,HOME SUPPLY WAREHOUSE STORES,2024/06/11 15:15:49+00,544910
Office of the Chief Financial Officer,2024/05/30 04:00:00+00,895,FTA* 2024 FTA ANNUAL M,DC,ORGANIZATIONS  CHARITABLE AND SOCIAL SERVICES,2024/06/11 15:15:49+00,544911
Office of the Chief Financial Officer,2024/05/30 04:00:00+00,325,MULTISTATE TAX COMMISS,DC,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,544912
Office of the Chief Financial Officer,2024/05/30 04:00:00+00,850.96,AMERICAN AIRLINES,TX,AMERICAN AIRLINES,2024/06/11 15:15:49+00,544913
Department of Housing & Community Development,2024/05/30 04:00:00+00,1048.74,ANDEAN CONSULTING SOLU,DC,OTHER SERVICES (NOT ELSEWHERE CLASSIFIED),2024/06/11 15:15:49+00,544916
District of Columbia Public Schools,2024/05/30 04:00:00+00,4622,REALLY GREAT READING C,MD,MISCELLANEOUS PUBLISHING AND PRINTING,2024/06/11 15:15:49+00,544917
District of Columbia Public Schools,2024/05/30 04:00:00+00,5000,WWW.GRAMMARLY.COM,CA,COMPUTER SOFTWARE STORES,2024/06/11 15:15:49+00,545046
District of Columbia Public Schools,2024/05/30 04:00:00+00,1650,IN *DEADWYLER TRANSPOR,CA,TRANSPORTATION SERVICES NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545059
District of Columbia Public Schools,2024/05/30 04:00:00+00,37.03,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545205
District of Columbia Public Schools,2024/05/30 04:00:00+00,301.53,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545353
District of Columbia Public Schools,2024/05/30 04:00:00+00,23.43,AMAZON.COM*VU4GL5UK3,WA,BOOK STORES,2024/06/11 15:15:49+00,545368
District of Columbia Public Schools,2024/05/30 04:00:00+00,50.99,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545369
District of Columbia Public Schools,2024/05/30 04:00:00+00,74.88,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545371
Department of Health,2024/05/30 04:00:00+00,805,CSTE,GA,ORGANIZATIONS  CHARITABLE AND SOCIAL SERVICES,2024/06/11 15:15:49+00,545519
District of Columbia Public Schools,2024/05/30 04:00:00+00,85.23,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545690
Office of the Mayor,2024/05/30 04:00:00+00,202.94,COMCAST,MD,CABLE  SATELLITE  OTHER PAY TELEVISION  RADIO SVCS,2024/06/11 15:15:49+00,545693
Office of the Mayor,2024/05/30 04:00:00+00,199.27,COMCAST,MD,CABLE  SATELLITE  OTHER PAY TELEVISION  RADIO SVCS,2024/06/11 15:15:49+00,545694
Office of the Mayor,2024/05/30 04:00:00+00,119.31,COMCAST,MD,CABLE  SATELLITE  OTHER PAY TELEVISION  RADIO SVCS,2024/06/11 15:15:49+00,545695
DC National Guard,2024/05/30 04:00:00+00,12.71,AMAZON MAR* 114-399805,WA,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,546197
District of Columbia Public Schools,2024/05/30 04:00:00+00,86.24,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546336
DC Public Library,2024/05/30 04:00:00+00,323.86,ULINE,WI,DIRECT MARKETING-CATALOG MERCHANTS,2024/06/11 15:15:49+00,546340
District of Columbia Public Schools,2024/05/30 04:00:00+00,228.57,LINKEDIN ADS 960670291,CA,DIRECT MARKETING-CONTINUITY-SUBSCRIPTION MERCHANTS,2024/06/11 15:15:49+00,546498
Department of Motor Vehicles,2024/05/30 04:00:00+00,26.98,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546501
Department of Motor Vehicles,2024/05/30 04:00:00+00,2660.47,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546502
District Department of the Environment,2024/05/30 04:00:00+00,2345,MCCOY AND  ASSOCIATES,CO,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546505
District Department of the Environment,2024/05/30 04:00:00+00,2820,SQ *MORTELL INDUSTRIES,DC,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546506
District of Columbia Public Schools,2024/05/30 04:00:00+00,3710,IN *BATTLE'S TRANSPORT,CA,TRANSPORTATION SERVICES NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546644
District of Columbia Public Schools,2024/05/30 04:00:00+00,135.42,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546645
Department of Housing & Community Development,2024/05/30 04:00:00+00,3500,CVENT* HOUSING VISIONA,VA,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546649
District of Columbia Public Schools,2024/05/30 04:00:00+00,17.99,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546654
District of Columbia Public Schools,2024/05/30 04:00:00+00,1000,IN *DEADWYLER TRANSPOR,CA,TRANSPORTATION SERVICES NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546661
District of Columbia Public Schools,2024/05/30 04:00:00+00,670.32,IN *BRISCOE & WOODS SE,CA,OFFICE  SCHOOL SUPPLY  AND STATIONERY STORES,2024/06/11 15:15:49+00,546662
Department of Housing & Community Development,2024/05/30 04:00:00+00,14.8,AMAZON.COM*FS36S1SG3,WA,BOOK STORES,2024/06/11 15:15:49+00,546800
District of Columbia Public Schools,2024/05/30 04:00:00+00,318.1,JETBLUE   27,NY,JETBLUE AIRWAYS (JETBLUE),2024/06/11 15:15:49+00,546803
District of Columbia Public Schools,2024/05/30 04:00:00+00,102,IN *BENJI HOLDINGS LLC,CA,COURIER SVC-AIR + GROUND  FREIGHT FORWARDERS,2024/06/11 15:15:49+00,546806
District of Columbia Public Schools,2024/05/30 04:00:00+00,153.87,STAPLES INC,MA,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,546807
District of Columbia Public Schools,2024/05/30 04:00:00+00,1220.4,CUSTOMINK LLC,VA,MENS AND WOMENS CLOTHING STORES,2024/06/11 15:15:49+00,546808
Fire & Emergency Medical Services,2024/05/30 04:00:00+00,2332,FSP*NATIONAL INK AND S,MD,ACCESSORY AND APPAREL STORES-MISCELLANEOUS,2024/06/11 15:15:49+00,546809
District of Columbia Public Schools,2024/05/30 04:00:00+00,161.91,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546816
District of Columbia Public Schools,2024/05/30 04:00:00+00,657.8,IN *PRECISION CAPITAL,CA,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,546949
District of Columbia Public Schools,2024/05/30 04:00:00+00,97.65,IN *PRECISION CAPITAL,CA,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,546950
