AGENCY,TRANSACTION_DATE,TRANSACTION_AMOUNT,VENDOR_NAME,VENDOR_STATE_PROVINCE,MCC_DESCRIPTION,DCS_LAST_MOD_DTTM,OBJECTID
District of Columbia Public Schools,2024/05/31 04:00:00+00,68,DISPUTE REBILL,IL,OFFICE  SCHOOL SUPPLY  AND STATIONERY STORES,2024/06/11 15:15:49+00,544897
District of Columbia Public Schools,2024/05/31 04:00:00+00,234.62,LINKEDIN ADS 961262076,CA,DIRECT MARKETING-CONTINUITY-SUBSCRIPTION MERCHANTS,2024/06/11 15:15:49+00,545058
District of Columbia Public Schools,2024/05/31 04:00:00+00,22.97,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545060
District of Columbia Public Schools,2024/05/31 04:00:00+00,149.99,DISPUTE REBILL,IL,COMPUTER SOFTWARE STORES,2024/06/11 15:15:49+00,546659
District of Columbia Public Schools,2024/05/31 04:00:00+00,149.99,DISPUTE REBILL,IL,COMPUTER SOFTWARE STORES,2024/06/11 15:15:49+00,546660
Office of the Chief Financial Officer,2024/05/31 04:00:00+00,59.63,COMCAST,MD,CABLE  SATELLITE  OTHER PAY TELEVISION  RADIO SVCS,2024/06/11 15:15:49+00,546970
Fire & Emergency Medical Services,2024/05/31 04:00:00+00,69.89,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,547274
District of Columbia Public Schools,2024/05/30 04:00:00+00,120,NATIONAL MALL PERMITS,DC,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,544899
District Department of Transportation,2024/05/30 04:00:00+00,3221.5,ABC TECHNICAL SOLUTION,VA,COMPUTER MAIN.-REPAIR-SERVICES NOT ELSEWHERE CLASS,2024/06/11 15:15:49+00,544900
District Department of Transportation,2024/05/30 04:00:00+00,12.99,WEB*HOSTGATOR.COM,MA,COMPUTER NETWORK-INFORMATION SERVICES,2024/06/11 15:15:49+00,544902
DC National Guard,2024/05/30 04:00:00+00,651.85,LOWES #00907,NC,HOME SUPPLY WAREHOUSE STORES,2024/06/11 15:15:49+00,544910
Office of the Chief Financial Officer,2024/05/30 04:00:00+00,895,FTA* 2024 FTA ANNUAL M,DC,ORGANIZATIONS  CHARITABLE AND SOCIAL SERVICES,2024/06/11 15:15:49+00,544911
Office of the Chief Financial Officer,2024/05/30 04:00:00+00,325,MULTISTATE TAX COMMISS,DC,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,544912
Office of the Chief Financial Officer,2024/05/30 04:00:00+00,850.96,AMERICAN AIRLINES,TX,AMERICAN AIRLINES,2024/06/11 15:15:49+00,544913
Department of Housing & Community Development,2024/05/30 04:00:00+00,1048.74,ANDEAN CONSULTING SOLU,DC,OTHER SERVICES (NOT ELSEWHERE CLASSIFIED),2024/06/11 15:15:49+00,544916
District of Columbia Public Schools,2024/05/30 04:00:00+00,4622,REALLY GREAT READING C,MD,MISCELLANEOUS PUBLISHING AND PRINTING,2024/06/11 15:15:49+00,544917
District of Columbia Public Schools,2024/05/30 04:00:00+00,5000,WWW.GRAMMARLY.COM,CA,COMPUTER SOFTWARE STORES,2024/06/11 15:15:49+00,545046
District of Columbia Public Schools,2024/05/30 04:00:00+00,1650,IN *DEADWYLER TRANSPOR,CA,TRANSPORTATION SERVICES NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545059
District of Columbia Public Schools,2024/05/30 04:00:00+00,37.03,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545205
District Department of the Environment,2024/05/02 04:00:00+00,21.98,ANNIES ACE HARDWARE,DC,HARDWARE STORES,2024/06/11 15:15:49+00,531051
District of Columbia Public Schools,2024/05/02 04:00:00+00,1840.75,"TOTAL OFFICE PRODUCTS,",DC,OFFICE PHOTOGRAPHIC PHOTOCOPY + MICROFILM EQUIPMT.,2024/06/11 15:15:49+00,531052
Fire & Emergency Medical Services,2024/05/02 04:00:00+00,129,B2B PRIME*Y56839MH3,WA,DIRECT MARKETING-CONTINUITY-SUBSCRIPTION MERCHANTS,2024/06/11 15:15:49+00,531056
Fire & Emergency Medical Services,2024/05/02 04:00:00+00,249.9,DISPUTE REBILL,IL,BOOK STORES,2024/06/11 15:15:49+00,531429
District of Columbia Public Schools,2024/05/01 04:00:00+00,277.83,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,525290
District of Columbia Public Schools,2024/05/01 04:00:00+00,947,SPORTSMARKIT.COM,DC,ASSOCIATIONS-CIVIC  SOCIAL  AND FRATERNAL,2024/06/11 15:15:49+00,525291
